gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
PHLDA2,0.7692780358995523,0.3094668340234763,0.7692780358995523,0.10716370866534056,12.502407312187538,5,0.9273875787692746,0.46757637689319853,0.9273875787692746,JUMP-CP_ORF
PHLDA3,0.7626742837447252,0.320029193350001,0.7626742837447252,0.04614538023405355,12.519719694783614,5,0.9210027646821253,0.47835767428740106,0.9210027646821253,JUMP-CP_ORF
PHLDB1,0.9234663863921584,0.39424240764432883,0.8543194486101996,0.18951780396667164,12.873416048359053,5,1.0862678274069337,0.5570438486591042,1.0171208896249748,JUMP-CP_ORF
PHLDB3,0.9054117702946345,0.37491294594832564,0.9054117702946345,0.07802733084124491,11.131986955770216,5,1.0461905279257984,0.5156917035794895,1.0461905279257984,JUMP-CP_ORF
PHOSPHO1,0.663258609084713,0.2736449293701942,0.663258609084713,0.0488231979154343,13.503806391726158,5,0.8340321731099185,0.4444184933953996,0.8340321731099185,JUMP-CP_ORF
PHOSPHO2,0.9229327503704383,0.3769996541812496,0.9229327503704383,0.21422766388431844,15.433558472316623,5,1.1181105920435672,0.5721774958543786,1.1181105920435672,JUMP-CP_ORF
PHPT1,0.8333914905944788,0.3391225940423124,0.8333914905944788,0.0701054580188667,11.695049810268483,5,0.9812909257326743,0.48702202918050785,0.9812909257326743,JUMP-CP_ORF
PHTF1,0.934417973447697,0.37547993306143745,0.934417973447697,0.05815174178635255,10.392533124625889,5,1.0658453554360656,0.5069073150498061,1.0658453554360656,JUMP-CP_ORF
PHTF2,0.8660536239214637,0.41626707034831234,0.8660536239214637,0.18736374442673434,7.575066033119005,5,0.9618503931194148,0.5120638395462634,0.9618503931194148,JUMP-CP_ORF
PHYH,0.9119293307792548,0.3865104749394014,0.9119293307792548,0.3701170935687252,13.581408583817398,5,1.0836842775742628,0.5582654217344094,1.0836842775742628,JUMP-CP_ORF
PHYHD1,0.9057353591103611,0.38664066790188634,0.9057353591103611,0.067160915389237,11.001912061966845,5,1.0448691469781393,0.5257744557696646,1.0448691469781393,JUMP-CP_ORF
PHYHIP,0.8776903023124591,0.37256183761843276,0.8776903023124591,0.012583918312454024,11.0281434057597,5,1.0171558203560656,0.5120273556620392,1.0171558203560656,JUMP-CP_ORF
PHYHIPL,0.9268169546553636,0.3687880480023924,0.9268169546553636,0.1201468535972981,11.370137048315211,5,1.0706074364550373,0.5125785298020662,1.0706074364550373,JUMP-CP_ORF
PHYKPL,0.9303536103599186,0.4041134945102637,0.9303536103599186,0.060390840469054165,12.5733135750684,5,1.0893598570828071,0.5631197412331522,1.0893598570828071,JUMP-CP_ORF
PI15,0.9317072246460895,0.48976815830224374,0.9317072246460895,0.05071943660860943,11.229107248054508,5,1.073714197342801,0.6317751309989552,1.073714197342801,JUMP-CP_ORF
PI16,0.962757848464169,0.7615671053673613,0.9330299464450001,0.1057935093850357,11.829708260837343,10,1.1123602185277235,0.9111694754309158,1.0826323165085547,JUMP-CP_ORF
PI3,0.937336844795013,0.378889593199615,0.937336844795013,0.0847756766077593,11.16539442883134,5,1.0785380842860484,0.5200908326906505,1.0785380842860484,JUMP-CP_ORF
PI4K2A,0.580934699367125,0.24660080321214384,0.580934699367125,0.06182143759109834,13.733512720264276,5,0.7546132049521884,0.4202793087972072,0.7546132049521884,JUMP-CP_ORF
PI4K2B,0.9119120656016723,0.7130201885503208,0.8871587151005922,0.10572330108747935,12.159178118738142,10,1.0656810195335402,0.8667891424821889,1.0409276690324603,JUMP-CP_ORF
PI4KB,0.44797305533402887,0.20068658162876854,0.44797305533402887,0.07072568066498744,14.950806386616225,5,0.6370458558192028,0.38975938211394245,0.6370458558192028,JUMP-CP_ORF
PIANP,0.8443655588280128,0.3626713242554808,0.8443655588280128,0.08115288719129367,11.871040165469667,5,0.9944906257118012,0.5127963911392692,0.9944906257118012,JUMP-CP_ORF
PIAS1,0.8700978404985649,0.3731341733280529,0.8700978404985649,0.10359985672845205,12.270799975266964,5,1.025278401033014,0.528314733862502,1.025278401033014,JUMP-CP_ORF
PIAS2,0.9704946360574881,0.4000246251055348,0.9704946360574881,0.627939937319225,18.515026364251526,5,1.2046417312188324,0.6341717202668792,1.2046417312188324,JUMP-CP_ORF
PIAS3,0.9851497446046802,0.42691441193048746,0.9851497446046802,0.18690784514497893,12.900121251764494,5,1.1482889083793404,0.5900535757051477,1.1482889083793404,JUMP-CP_ORF
