gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
ETV6,0.7936658974373452,0.353141719818587,0.7936658974373452,0.10483152460006176,5.37479742492566,5,0.8455773130774361,0.40505313545867794,0.8455773130774361,JUMP-CP_CRISPR
ETV7,0.7378701393259057,0.3032558138107675,0.7378701393259057,0.24915602088717104,6.439783664868455,5,0.8000675134834775,0.36545318796833925,0.8000675134834775,JUMP-CP_CRISPR
EVX1,0.8245963628096631,0.37636027590621074,0.8245963628096631,0.07024584628485174,4.3062582809996055,5,0.866187504913339,0.4179514180098866,0.866187504913339,JUMP-CP_CRISPR
EVX2,0.8642646274556501,0.3513443718861589,0.86426462745565,0.09289585686706547,4.6061802189298975,5,0.9087525061520909,0.39583225058259974,0.9087525061520908,JUMP-CP_CRISPR
EWSR1,0.6411311658334753,0.436757252515833,0.6708699006595912,0.17348147774682832,7.029961202102177,10,0.7090286527608244,0.5046547394431822,0.7387673875869403,JUMP-CP_CRISPR
EXO1,0.974999237020997,0.4322136268479476,0.974999237020997,0.8037800045661397,9.484991271767925,5,1.066608145287561,0.5238225351145117,1.066608145287561,JUMP-CP_CRISPR
EXOG,0.9030288321084161,0.3904574445901281,0.9030288321084161,0.10946525403978212,4.764272855701721,5,0.9490436172030481,0.43647222968476007,0.9490436172030481,JUMP-CP_CRISPR
EXOSC4,0.6104423048225842,0.3304053686407518,0.6164893333624056,0.10287809012603351,7.226965813303734,6,0.6802425217407739,0.4002055855589415,0.6862895502805954,JUMP-CP_CRISPR
EXOSC5,0.869057725976385,0.48150024005591774,0.8690577259763851,0.11232699143956384,5.094806636422146,5,0.918264906080082,0.5307074201596148,0.9182649060800822,JUMP-CP_CRISPR
EXOSC7,0.6242989953382365,0.3595560642982434,0.6242989953382365,0.17086904097873468,6.810933225742517,6,0.6900810439674117,0.4253381129274185,0.6900810439674117,JUMP-CP_CRISPR
EXOSC8,0.5663937179354449,0.24676648851898839,0.5667498465341922,0.05724975154077062,7.415468511210302,5,0.6380145508000006,0.3183873213835441,0.6383706793987479,JUMP-CP_CRISPR
EXOSC9,0.6870466364883687,0.27604592378450443,0.6958060753952974,0.22267690457095743,8.360533047163802,5,0.767795187860989,0.3567944751571247,0.7765546267679176,JUMP-CP_CRISPR
EXT1,0.6384247133744347,0.2567068049360365,0.6478634798200313,0.1627819027729268,6.984050445032365,5,0.7058787803541687,0.3241608719157705,0.7153175467997653,JUMP-CP_CRISPR
EXT2,0.8301789256790713,0.5208327615210162,0.8336313435568298,0.3756422444866787,7.32639582318478,7,0.9009394676406005,0.5915933034825455,0.904391885518359,JUMP-CP_CRISPR
EXTL1,0.8667350569655371,0.34249894700408556,0.8412240863411586,0.12850616389080957,4.862645462666316,5,0.913699954387018,0.3894638444255665,0.8881889837626396,JUMP-CP_CRISPR
EXTL2,0.8772906362485697,0.3799314816399371,0.8772906362485697,0.07141324192606907,4.75953376700061,5,0.9232596497942727,0.42590049518564005,0.9232596497942727,JUMP-CP_CRISPR
EXTL3,0.919100633953308,0.42437657250020044,0.919100633953308,0.14195682422576628,5.219208689043079,5,0.9695093266256717,0.47478526517256414,0.9695093266256717,JUMP-CP_CRISPR
EYA1,0.978410469580941,0.4124036358397202,0.978410469580941,0.1434144683685204,5.035788755490378,5,1.0270476371790433,0.4610408034378224,1.0270476371790433,JUMP-CP_CRISPR
EYA2,1.0002898823484734,0.7749941489824589,0.9749153068932543,0.1750553685962325,5.045463540089734,10,1.0490204919360795,0.823724758570065,1.0236459164808605,JUMP-CP_CRISPR
EYA3,0.8734180575511843,0.3274401042093025,0.8734180575511843,0.10769069860182562,4.943514408530821,5,0.9211640116580168,0.37518605831613494,0.9211640116580168,JUMP-CP_CRISPR
