broad_id,drug_name,viability_cv,mean_lfc,std_lfc,n_cell_lines
BRD-A94055480-001-02-9,ISO-1,9.012174252535557,-0.052199871287495744,0.47043433600283924,914
BRD-A94965935-001-01-6,CICLOPROFEN,10.007613678275153,0.046938217517488875,0.46973954766187603,914
BRD-A99367815-001-04-9,FUMAGILLIN,1.033568746836955,-0.690234793763336,0.7134051108132352,911
BRD-K00002423-001-02-9,PF-05175157,4.533578286673506,-0.11292680518902369,0.5119625119883667,917
BRD-K00002625-402-02-9,CASPOFUNGIN,28.812407253723602,-0.014811639092792222,0.4267589776367027,914
BRD-K00003093-001-01-9,SD-0006,4.852268400449647,-0.1032561231333162,0.501026423432728,917
BRD-K00003094-001-01-9,JNJ-38877618,3.7555221624543744,-0.16683838559113742,0.6265652546356252,917
BRD-K00003096-001-01-9,FN-1501,0.40006336772519663,-7.707655480519119,3.0835506088020472,916
BRD-K00003097-001-01-9,PF-05180999,18.509775280146407,0.025708000186605923,0.4758493063560375,917
BRD-K00003098-001-01-9,IDF-11774,3.3363298910848087,-0.13524614607155938,0.45122575979256585,917
BRD-K00003099-001-01-9,PLX51107,1.3172803388931424,-0.9534051909342501,1.2559019130163502,917
BRD-K00003100-001-01-9,AZD7594,5.386438589021442,-0.12858794446119945,0.6926310661287508,917
BRD-K00003101-001-02-9,GDC-0927,6.380453211808429,-0.07379961531862664,0.47087499258995785,916
BRD-K00003102-001-01-9,INCB-057643,1.0075059764691443,-1.48929866694081,1.5004773076903957,917
BRD-K00003103-001-01-9,DESISOBUTYRYL-CICLESONIDE,2.2634302448717682,-0.3259514433255998,0.7377683551827686,917
BRD-K00003105-003-01-9,IACS-10759,0.7627369992197711,-1.3742317673592117,1.0481774144680478,917
BRD-K00003106-001-01-9,AZD4573,0.3243054614951471,-8.389233511929524,2.720674245676858,911
BRD-K00003107-001-01-9,LXH254,0.8207796748136593,-1.444314798749788,1.1854642308464067,917
BRD-K00003108-001-01-9,ABBV-744,1.0632084032108682,-1.4405925002967344,1.5316500519180432,916
BRD-K00003109-001-01-9,AB-423,8.061860382551561,-0.05626515876309035,0.45360185435013195,917
BRD-K00003110-001-01-9,BMS-986195,3.3198395992426493,-0.14004197253706135,0.46491688598458786,917
BRD-K00003111-001-01-9,BOS-172722,0.6750223134004448,-1.9637988661609462,1.3256080536891324,917
BRD-K00003112-001-01-9,GDC-0575,0.5788682100180403,-4.558846083361384,2.6389710720231587,917
BRD-K00003113-001-01-9,O-304,5.9390976589332505,-0.07019482633210528,0.41689392873823256,911
BRD-K00003114-001-01-9,C188-9,0.6903032884982574,-1.4388089211798283,0.9932145298110655,917
BRD-K00003115-001-01-9,ETC-206,33.98690582705037,-0.011555819589447732,0.39274655214094395,917
BRD-K00003116-001-01-9,CC-90003,0.8734533983890533,-1.675210622524118,1.4632184112611324,917
BRD-K00003117-001-01-9,CEFTOBIPROLE,2.594837687951437,-0.15782483648713208,0.4095298338115834,917
BRD-K00003118-011-01-9,RETAGLIPTIN,8.673029125030489,-0.047848250116096655,0.4149892668386498,917
BRD-K00003119-066-01-9,PRADEFOVIR,5.938746223099442,-0.07595770703780062,0.4510935457860324,917
BRD-K00003120-001-01-9,BI-409306,14.341788259036536,0.03067060354769072,0.4398713018578351,917
BRD-K00003121-300-01-9,GSK369796,1.1667388672294117,-0.44593757974549114,0.5202927066472798,916
BRD-K00003122-001-01-9,PRINOMASTAT,3.842629879877595,0.14945362967407322,0.5742949830417545,916
BRD-K00003123-001-01-9,RESMETIROM,13.932866053310072,0.03641070317035445,0.5073054501793809,917
BRD-K00003124-389-01-9,TRODUSQUEMINE,0.6710985644137456,-1.0594640895493728,0.7110048295445001,917
BRD-K00003125-001-01-9,SULFATINIB,1.647385053965113,-0.47989700740742486,0.7905751574455768,916
BRD-K00003126-001-01-9,G-749,0.6353305547353355,-3.39590533725359,2.15752242174601,917
BRD-K00003128-001-01-9,BECLABUVIR,3.400349058266587,-0.13075598265886704,0.4446159824968007,917
BRD-K00003129-001-01-9,CRENIGACESTAT,2.988230449112366,-0.16776629176415797,0.501324341384326,916
BRD-K00003130-003-01-9,EPETRABOROLE,2.9645758058261378,-0.1785738388092823,0.5293956820874949,917
BRD-K00003131-001-01-9,LY2510924,14.230003971181233,0.030573877986286146,0.4350664051592623,911
BRD-K00003132-001-01-9,LGD-6972,6.7051806601198125,-0.06498809149824565,0.43575689425213354,917
BRD-K00003133-001-01-9,VELPATASVIR,2.8469394587121477,-0.1557997112687212,0.443552345666882,917
BRD-K00003134-001-01-9,DESLORELIN,2.2399541510118923,-0.19557230062046943,0.43807298659776617,916
BRD-K00003135-001-01-9,ALISPORIVIR,2.646166899264193,-0.19427611992992527,0.5140870378760488,911
BRD-K00003136-001-01-9,MITAPIVAT,4.493665575213127,-0.10433951176049751,0.4688668721326929,917
BRD-K00003137-001-01-9,LOTAMILAST,2.321361284053363,-0.24003390735751465,0.5572054193997862,911
BRD-K00003138-001-01-9,ASIVATREP,21.722006542038883,0.021182706706937324,0.4601308936661835,917
BRD-K00003139-001-01-9,ETRASIMOD,5.523750317177691,-0.08337043001442603,0.4605174392354262,916
BRD-K00003140-001-01-9,HPGDS-IN-1,4.121734731950729,-0.10885032240527874,0.448652154441872,917
BRD-K00003141-003-01-9,VIXOTRIGINE,25.30162631040918,0.0166145333645575,0.4203747145118592,917
BRD-K00003142-003-01-9,DASOTRALINE,4.946951910904048,-0.12233842324028178,0.6052022966255001,916
BRD-K00003143-001-01-9,BAY1217389,0.617800851324039,-2.2895625079957966,1.414493666599405,916
BRD-K00003144-001-01-9,ATUVECICLIB,0.4154931630564526,-5.658551094252456,2.351089292467504,917
BRD-K00003145-001-01-9,PF-05089771,17.44027262451567,-0.02432966562477668,0.42431600135941266,917
BRD-K00003146-318-01-9,MIW-815,2.642159122043369,0.1597905315687067,0.42219201060041733,917
BRD-K00003147-001-01-9,S49076,29.080940538498822,0.021179158281907924,0.6159098426516192,916
BRD-K00003148-001-01-9,BATEFENTEROL,55.38153041890831,-0.010771520338212881,0.5965432812686262,911
BRD-K00003149-001-01-9,RO-5028442,2.863072021494301,-0.1541211869050583,0.44126005814736624,911
BRD-K00003150-001-01-9,SEGESTERONE-ACETATE,10.604141257756952,0.0547317516977568,0.580383226287492,916
BRD-K00003151-001-01-9,OLODANRIGAN,5.12873006855485,-0.08967984457668435,0.45994371542376655,916
BRD-K00003152-001-01-9,AM211,4.500667098982893,0.09774213127965634,0.43990479443481595,911
BRD-K00003154-001-01-9,IMISOPASEM-MANGANESE,3.8313731383053273,-0.12310552745462904,0.47166321106657466,916
BRD-K00003155-003-01-9,TAK-779,6.924455430019476,-0.06425249660829559,0.44491354903162034,916
BRD-K00003156-066-01-9,ERIBULIN,0.5313710328466167,-4.3884415906189025,2.3318907405942157,917
BRD-K00003157-001-01-9,DEBIO-0932,0.34741080503617744,-4.431335527097661,1.5394938428544123,916
BRD-K00003158-001-01-9,ABARELIX,2.7677306698818014,0.17802853699131654,0.4927350419450536,911
BRD-K00003159-300-01-9,BANOXANTRONE,0.605444550915588,-2.1455830268906992,1.2990315521679474,917
BRD-K00003160-003-01-9,BELOTECAN,0.4527898191101548,-7.261029558511375,3.2877202603518527,916
BRD-K00003161-015-01-9,BUSERELIN,4.072621486831223,-0.11434375909985994,0.46567885019514277,917
BRD-K00003162-001-01-9,CROLIBULIN,0.4438504189119695,-3.756737103163529,1.6674293369812712,916
BRD-K00003164-001-01-9,OGLUFANIDE,2.5469668209806473,-0.16756675865062357,0.4267869745824101,916
BRD-K00003165-300-01-9,SARDOMOZIDE,0.399216596442483,-2.7504736159312544,1.0980347155569246,911
BRD-K00003166-001-01-9,GSK189254,3.5412365011984117,0.17700065219654978,0.6268011702943469,916
BRD-K00003167-001-01-9,MACITENTAN-N-BUTYL-ANALOGUE,4.054222847386375,-0.10536204837940186,0.42716122378719956,917
BRD-K00003168-003-01-9,BMS-582949,2.4929607725422964,-0.24062814877913427,0.5998765356758532,916
BRD-K00003169-001-01-9,RAD140,6.141631210846623,-0.0962874776837925,0.5913621781564777,916
BRD-K00003170-001-01-9,PAVINETANT,4.395330386683629,0.10369272459376587,0.45576378328499595,911
BRD-K00003171-001-01-9,DWK-1339,4.785765389857484,-0.10268584013357877,0.4914303397397199,916
BRD-K00003172-001-01-9,E7820,0.5777738414682032,-4.087576207834624,2.3616946078946413,911
BRD-K00003173-001-01-9,SJG-136,1.269484128470567,-0.6225908658936717,0.7903692227827634,917
BRD-K00003174-001-01-9,SOBLIDOTIN,0.4505602641008294,-3.956351105100089,1.7825745987895043,917
BRD-K00003175-001-01-9,ROLAPITANT,19.365261162071143,-0.02205975779334851,0.42719297084022817,911
BRD-K00003176-001-01-9,KARENITECIN,5.707865981074995,-0.11035328815104005,0.6298817793370879,916
