drug,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
Homoharringtonine,0.577653994879208,0.524640917166554,0.6050851316186533,0.12405058116298581,169.0957149679307,49,0.5560938908013615,0.5030808130887076,0.5835250275408068,Tahoe-100M
Idarubicin (hydrochloride),0.5807483956986617,0.5312569548011891,0.6051483499538968,0.10396962186626736,185.49951918071622,49,0.5570967677394008,0.5076053268419282,0.5814967219946359,Tahoe-100M
Isocorydine,0.9320328486847291,0.8997064517209046,0.9252462086500934,0.2848925102515449,98.35819032798459,49,0.9194919465052613,0.8871655495414368,0.9127053064706256,Tahoe-100M
L-Thyroxine (sodium salt pentahydrate),0.8647575096739938,0.8164447630489374,0.8755699693105624,0.5257429839227052,70.26940842827749,49,0.8557979937011041,0.8074852470760477,0.8666104533376727,Tahoe-100M
Larotrectinib,0.8678141810914856,0.8293052410538503,0.8698332852742708,0.43061136175613524,65.71180843907919,50,0.8594357699096365,0.8209268298720013,0.8614548740924218,Tahoe-100M
Lenalidomide (hemihydrate),0.9355345422922303,0.9016352973315049,0.9286610810904797,0.2952758660329754,87.24929216345186,49,0.9244100509346627,0.8905108059739373,0.9175365897329121,Tahoe-100M
Lidocaine (hydrochloride),0.8479862775913023,0.8065135332472313,0.8503828308390053,0.2899352902748838,88.11098196664256,49,0.8367519187433424,0.7952791743992714,0.8391484719910455,Tahoe-100M
Lipoic acid,0.9425004709468607,0.9110108167827005,0.9333271721234625,0.29065413968849624,95.31394733681634,49,0.9303477169575484,0.8988580627933881,0.9211744181341501,Tahoe-100M
Lumateperone (tosylate),0.9059851930895787,0.8682895455024986,0.9036779063975972,0.4782533131359373,52.61732732920894,50,0.89927635925703,0.8615807116699499,0.8969690725650484,Tahoe-100M
Medroxyprogesterone acetate,0.8634084083460917,0.818728413858545,0.8710161934435832,0.47163677803112125,48.29011617197204,50,0.8572513041829467,0.8125713096954,0.8648590892804382,Tahoe-100M
Megestrol,0.8572626415344785,0.8146832461606243,0.8634958426325672,0.5376267230382181,40.23685073884064,50,0.8521323477842276,0.8095529524103734,0.8583655488823163,Tahoe-100M
Mitoxantrone (dihydrochloride),0.8925780956264429,0.8572407605275141,0.888870901584474,0.3118301307445004,84.25602545573543,49,0.8818352528621785,0.8464979177632497,0.8781280588202096,Tahoe-100M
Neratinib (maleate),0.8815232711820633,0.8439254635151054,0.8828159428388734,0.4180215189159291,58.493549227736324,50,0.8740652051425317,0.8364673974755739,0.8753578767993418,Tahoe-100M
